neuron_id,cell_type,observed,seed,teacher_rate_hz,student_rate_hz,fluctuation_r2
8,excitatory,1,44,25.0,22.049689440993788,0.4160382151603699
10,excitatory,1,44,11.956521739130434,9.937888198757763,0.7627774477005005
28,excitatory,1,44,0.0,0.0,
44,excitatory,1,44,0.0,0.0,
50,excitatory,1,44,0.3105590062111801,0.4658385093167702,-1.4595885276794434
61,excitatory,1,44,0.0,0.0,
66,excitatory,1,44,1.8633540372670807,1.7080745341614907,-0.14750897884368896
72,excitatory,1,44,2.950310559006211,2.0186335403726705,0.6245980262756348
87,excitatory,1,44,2.0962732919254656,2.251552795031056,0.536224365234375
88,excitatory,1,44,0.0,0.0,
90,inhibitory,1,44,0.07763975155279502,0.07763975155279502,-1.027848482131958
103,excitatory,1,44,0.7763975155279502,0.5434782608695652,0.2716965079307556
118,excitatory,1,44,3.260869565217391,1.8633540372670807,0.819010853767395
127,excitatory,1,44,2.872670807453416,2.795031055900621,0.8814429640769958
140,inhibitory,1,44,1.0093167701863353,1.0093167701863353,0.5202639102935791
145,excitatory,1,44,0.3881987577639751,0.2329192546583851,0.43752098083496094
159,excitatory,1,44,0.0,0.0,
185,excitatory,1,44,0.15527950310559005,0.07763975155279502,0.4849702715873718
209,inhibitory,1,44,4.968944099378882,3.493788819875776,0.3833938241004944
238,excitatory,1,44,1.4751552795031055,1.7080745341614907,0.1360785961151123
239,inhibitory,1,44,30.046583850931675,28.105590062111798,0.7911263704299927
252,inhibitory,1,44,1.7080745341614907,1.5527950310559004,0.4752030372619629
253,excitatory,1,44,0.0,0.0,
254,inhibitory,1,44,14.440993788819874,9.627329192546583,0.48458099365234375
269,excitatory,1,44,11.490683229813664,6.288819875776397,0.7488151788711548
298,excitatory,1,44,0.0,0.0,
302,excitatory,1,44,0.0,0.0,
303,excitatory,1,44,0.0,0.0,
308,excitatory,1,44,0.0,0.15527950310559005,
335,excitatory,1,44,51.70807453416149,51.785714285714285,0.9952450394630432
342,excitatory,1,44,0.0,0.0,
364,inhibitory,1,44,0.0,0.0,
