seed,neuron_id,cell_type,targeted,teacher_delta_rate_hz,student_delta_rate_hz,ceiling_delta_rate_hz
44,1,excitatory,0,-0.07763975155279502,0.05822981366459626,-0.007763975155279504
44,2,inhibitory,0,18.090062111801238,13.377329192546583,18.035714285714285
44,3,excitatory,0,-0.07763975155279502,-0.10481366459627328,-0.08152173913043477
44,4,excitatory,0,0.15527950310559005,0.15527950310559005,0.15527950310559005
44,5,inhibitory,1,-1.7080745341614907,-1.137422360248447,-1.7585403726708073
44,7,excitatory,0,1.4751552795031053,1.5760869565217392,1.5256211180124224
44,11,excitatory,0,-1.7857142857142856,-2.1312111801242235,-1.9992236024844718
44,16,excitatory,0,0.6211180124223605,0.5163043478260869,0.46972049689440976
44,18,excitatory,0,0.0,0.0,0.0
44,19,inhibitory,1,0.0,0.0,0.0
44,22,excitatory,0,2.329192546583851,2.041925465838508,2.228260869565217
44,23,excitatory,0,-0.6987577639751552,-0.8540372670807452,-0.5784161490683228
44,25,excitatory,0,-21.58385093167702,-21.420807453416145,-21.622670807453417
44,27,excitatory,0,0.4658385093167702,0.5046583850931676,0.4192546583850931
44,29,excitatory,0,-0.15527950310559005,-0.14751552795031056,-0.1591614906832298
44,30,excitatory,0,0.7763975155279494,0.7336956521739131,0.8229813664596275
44,31,excitatory,0,-0.7763975155279501,-1.513975155279503,-0.7181677018633541
44,32,inhibitory,1,-0.15527950310559005,-0.06599378881987578,-0.1746894409937888
44,34,excitatory,0,0.0,0.0,0.0
44,35,excitatory,0,6.521739130434783,6.797360248447205,6.40527950310559
44,36,excitatory,0,0.0,0.0,0.0
44,37,excitatory,0,0.0,0.0,0.0
44,38,excitatory,0,4.425465838509317,4.83307453416149,4.580745341614906
44,42,excitatory,0,-4.891304347826087,-5.675465838509316,-4.934006211180124
44,43,excitatory,0,-0.854037267080745,-0.43866459627329224,-0.7065217391304346
44,45,inhibitory,0,0.0,-0.09704968944099379,-0.10481366459627328
