obs_fraction,n_observed,seed,evaluation,group,cell_type,n_cells,metric,value,ceiling_value
0.25,1250,45,held_out,unobserved,all,3750,fluctuation_r2,0.3849945068359375,0.9763658046722412
0.25,1250,46,held_out,observed,all,1250,activity_r2,0.9886137119671834,0.9993258374665395
0.25,1250,46,held_out,observed,all,1250,fluctuation_r2,0.952025294303894,0.9774386286735535
0.25,1250,46,held_out,unobserved,all,3750,activity_r2,0.9821514630883998,0.9986411057886609
0.25,1250,46,held_out,unobserved,all,3750,fluctuation_r2,0.9428320527076721,0.9770705103874207
0.5,2500,44,perturbation,unobserved,excitatory,2003,delta_activity_r2,0.9939245779413931,0.9993396584592613
0.5,2500,44,perturbation,unobserved,excitatory,2003,delta_fluctuation_r2,0.9615604281425476,0.9916563630104065
0.5,2500,44,perturbation,unobserved,inhibitory,373,delta_activity_r2,0.9831425955778255,0.9993146360140089
0.5,2500,44,perturbation,unobserved,inhibitory,373,delta_fluctuation_r2,0.9497366547584534,0.9927361607551575
0.5,2500,44,perturbation,targeted,inhibitory,124,delta_activity_r2,0.9845831617348068,0.9997619566864163
0.5,2500,44,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.9571144580841064,0.9941699504852295
0.5,2500,45,perturbation,unobserved,excitatory,1991,delta_activity_r2,0.9715756668072,0.9976579611240349
0.5,2500,45,perturbation,unobserved,excitatory,1991,delta_fluctuation_r2,0.9175490736961365,0.9868009090423584
0.5,2500,45,perturbation,unobserved,inhibitory,382,delta_activity_r2,0.9580100876703738,0.9981505422620792
0.5,2500,45,perturbation,unobserved,inhibitory,382,delta_fluctuation_r2,0.8840134739875793,0.9887239933013916
0.5,2500,45,perturbation,targeted,inhibitory,127,delta_activity_r2,0.9455974200608586,0.9996409389213724
0.5,2500,45,perturbation,targeted,inhibitory,127,delta_fluctuation_r2,0.873412013053894,0.9928293228149414
0.5,2500,46,perturbation,unobserved,excitatory,2006,delta_activity_r2,0.9866666293872001,0.9992538134874229
0.5,2500,46,perturbation,unobserved,excitatory,2006,delta_fluctuation_r2,0.94724440574646,0.9907078742980957
0.5,2500,46,perturbation,unobserved,inhibitory,370,delta_activity_r2,0.9931903675234013,0.999195882119384
0.5,2500,46,perturbation,unobserved,inhibitory,370,delta_fluctuation_r2,0.9660775661468506,0.9933810234069824
0.5,2500,46,perturbation,targeted,inhibitory,124,delta_activity_r2,0.9940667289068827,0.9998688229674126
0.5,2500,46,perturbation,targeted,inhibitory,124,delta_fluctuation_r2,0.9823170900344849,0.9962241053581238
0.01,50,44,perturbation,unobserved,excitatory,3961,delta_activity_r2,-0.017532070448322612,0.8226804142227729
0.01,50,44,perturbation,unobserved,excitatory,3961,delta_fluctuation_r2,-0.00010097026824951172,0.2851911783218384
0.01,50,44,perturbation,unobserved,inhibitory,742,delta_activity_r2,-0.3558260688036494,0.8386669688157775
0.01,50,44,perturbation,unobserved,inhibitory,742,delta_fluctuation_r2,-0.43335139751434326,0.30607593059539795
0.01,50,44,perturbation,targeted,inhibitory,247,delta_activity_r2,-0.33482026288950806,0.927639374842242
0.01,50,44,perturbation,targeted,inhibitory,247,delta_fluctuation_r2,-0.38400983810424805,0.49611973762512207
0.01,50,45,perturbation,unobserved,excitatory,3957,delta_activity_r2,0.01053672463873323,0.9230678915794719
0.01,50,45,perturbation,unobserved,excitatory,3957,delta_fluctuation_r2,0.022593557834625244,0.49594438076019287
0.01,50,45,perturbation,unobserved,inhibitory,745,delta_activity_r2,0.056381670997390554,0.9331392445131641
0.01,50,45,perturbation,unobserved,inhibitory,745,delta_fluctuation_r2,-0.030225753784179688,0.5107486844062805
0.01,50,45,perturbation,targeted,inhibitory,248,delta_activity_r2,-0.27706365125985055,0.9470041289241691
0.01,50,45,perturbation,targeted,inhibitory,248,delta_fluctuation_r2,-0.171630859375,0.5773440599441528
0.01,50,46,perturbation,unobserved,excitatory,3961,delta_activity_r2,-0.3655034253657483,0.9179217059300495
0.01,50,46,perturbation,unobserved,excitatory,3961,delta_fluctuation_r2,-0.18018686771392822,0.23115360736846924
0.01,50,46,perturbation,unobserved,inhibitory,742,delta_activity_r2,0.14539201253481127,0.9017951062877179
0.01,50,46,perturbation,unobserved,inhibitory,742,delta_fluctuation_r2,0.028884172439575195,0.2542452812194824
0.01,50,46,perturbation,targeted,inhibitory,247,delta_activity_r2,0.4092381154296063,0.9509982909644008
0.01,50,46,perturbation,targeted,inhibitory,247,delta_fluctuation_r2,0.15963047742843628,0.4579000473022461
0.02,100,44,perturbation,unobserved,excitatory,3918,delta_activity_r2,-0.017590234801212246,0.8733594334566317
0.02,100,44,perturbation,unobserved,excitatory,3918,delta_fluctuation_r2,-0.005619168281555176,0.2850732207298279
0.02,100,44,perturbation,unobserved,inhibitory,736,delta_activity_r2,-0.03922162047582822,0.8557428816532642
0.02,100,44,perturbation,unobserved,inhibitory,736,delta_fluctuation_r2,-0.08260643482208252,0.32373046875
0.02,100,44,perturbation,targeted,inhibitory,246,delta_activity_r2,-0.13840033472876745,0.9392316534591144
0.02,100,44,perturbation,targeted,inhibitory,246,delta_fluctuation_r2,-0.16619038581848145,0.4945668578147888
0.02,100,45,perturbation,unobserved,excitatory,3917,delta_activity_r2,0.747313257509624,0.9516994705618333
0.02,100,45,perturbation,unobserved,excitatory,3917,delta_fluctuation_r2,0.3435264229774475,0.6164640188217163
0.02,100,45,perturbation,unobserved,inhibitory,737,delta_activity_r2,0.675564579507697,0.9486471822930658
0.02,100,45,perturbation,unobserved,inhibitory,737,delta_fluctuation_r2,0.3300051689147949,0.6178368330001831
0.02,100,45,perturbation,targeted,inhibitory,246,delta_activity_r2,0.7758551583171223,0.9627304773950395
0.02,100,45,perturbation,targeted,inhibitory,246,delta_fluctuation_r2,0.41735219955444336,0.6981515884399414
0.02,100,46,perturbation,unobserved,excitatory,3923,delta_activity_r2,-0.06501799705253042,0.8314289896806111
0.02,100,46,perturbation,unobserved,excitatory,3923,delta_fluctuation_r2,-0.008022546768188477,0.43835920095443726
0.02,100,46,perturbation,unobserved,inhibitory,733,delta_activity_r2,-0.22269392877687322,0.8571163818988444
0.02,100,46,perturbation,unobserved,inhibitory,733,delta_fluctuation_r2,-0.24543225765228271,0.45430922508239746
0.02,100,46,perturbation,targeted,inhibitory,244,delta_activity_r2,-0.5099397038388402,0.9226199589402111
0.02,100,46,perturbation,targeted,inhibitory,244,delta_fluctuation_r2,-0.3868680000305176,0.5444827079772949
0.05,250,44,perturbation,unobserved,excitatory,3799,delta_activity_r2,0.9114946713174445,0.9608815501675697
0.05,250,44,perturbation,unobserved,excitatory,3799,delta_fluctuation_r2,0.5087235569953918,0.6164543032646179
0.05,250,44,perturbation,unobserved,inhibitory,713,delta_activity_r2,0.885742541636782,0.9444776872719208
0.05,250,44,perturbation,unobserved,inhibitory,713,delta_fluctuation_r2,0.4816717505455017,0.5995909571647644
0.05,250,44,perturbation,targeted,inhibitory,238,delta_activity_r2,0.9248228065320019,0.9538875470583783
