variant,n_free_params,observed_fraction,seed,evaluation,group,cell_type,n_cells,metric,value,ceiling_value
full_connectome,6,0.01,44,perturbation,unobserved,inhibitory,742,delta_activity_r2,-0.3558260688036494,0.8386669688157775
full_connectome,6,0.01,44,perturbation,unobserved,inhibitory,742,delta_fluctuation_r2,-0.43335139751434326,0.30607593059539795
full_connectome,6,0.01,44,perturbation,targeted,inhibitory,247,delta_activity_r2,-0.33482026288950806,0.927639374842242
full_connectome,6,0.01,44,perturbation,targeted,inhibitory,247,delta_fluctuation_r2,-0.38400983810424805,0.49611973762512207
full_connectome,6,0.02,44,perturbation,unobserved,excitatory,3918,delta_activity_r2,-0.017590234801212246,0.8733594334566317
full_connectome,6,0.02,44,perturbation,unobserved,excitatory,3918,delta_fluctuation_r2,-0.005619168281555176,0.2850732207298279
full_connectome,6,0.02,44,perturbation,unobserved,inhibitory,736,delta_activity_r2,-0.03922162047582822,0.8557428816532642
full_connectome,6,0.02,44,perturbation,unobserved,inhibitory,736,delta_fluctuation_r2,-0.08260643482208252,0.32373046875
full_connectome,6,0.02,44,perturbation,targeted,inhibitory,246,delta_activity_r2,-0.13840033472876745,0.9392316534591144
full_connectome,6,0.02,44,perturbation,targeted,inhibitory,246,delta_fluctuation_r2,-0.16619038581848145,0.4945668578147888
full_connectome,6,0.05,44,perturbation,unobserved,excitatory,3799,delta_activity_r2,0.9114946713174445,0.9608815501675697
full_connectome,6,0.05,44,perturbation,unobserved,excitatory,3799,delta_fluctuation_r2,0.5087235569953918,0.6164543032646179
full_connectome,6,0.05,44,perturbation,unobserved,inhibitory,713,delta_activity_r2,0.885742541636782,0.9444776872719208
full_connectome,6,0.05,44,perturbation,unobserved,inhibitory,713,delta_fluctuation_r2,0.4816717505455017,0.5995909571647644
full_connectome,6,0.05,44,perturbation,targeted,inhibitory,238,delta_activity_r2,0.9248228065320019,0.9538875470583783
full_connectome,6,0.05,44,perturbation,targeted,inhibitory,238,delta_fluctuation_r2,0.630936861038208,0.6950088739395142
full_connectome,6,0.25,44,perturbation,unobserved,excitatory,3004,delta_activity_r2,0.9669339296824264,0.9952653953971076
full_connectome,6,0.25,44,perturbation,unobserved,excitatory,3004,delta_fluctuation_r2,0.8663671016693115,0.9343271851539612
full_connectome,6,0.25,44,perturbation,unobserved,inhibitory,560,delta_activity_r2,0.9356019361296428,0.9921093042529524
full_connectome,6,0.25,44,perturbation,unobserved,inhibitory,560,delta_fluctuation_r2,0.8491584062576294,0.9390698671340942
