neuron_id,cell_type,assembly,odour_hz,odour_repeat_hz,baseline_hz
261,excitatory,1,1.3333334,2.1111112,2.1111112
262,inhibitory,1,6.5555553,1.7777778,1.6666666
263,inhibitory,1,3.8888888,10.333333,5.111111
264,inhibitory,1,1.0,0.33333334,0.0
265,excitatory,1,1.2222222,8.555555,0.0
266,excitatory,1,0.11111111,0.0,0.0
267,excitatory,1,0.22222222,0.7777778,0.33333334
268,inhibitory,1,19.0,11.222222,29.222221
269,excitatory,1,6.888889,19.777779,1.7777778
270,excitatory,1,0.0,0.0,0.0
271,excitatory,1,0.6666667,0.11111111,0.11111111
272,excitatory,1,0.44444445,0.44444445,0.44444445
273,excitatory,1,21.222221,18.666666,18.555555
274,excitatory,1,0.0,0.33333334,0.0
275,excitatory,1,0.11111111,0.0,0.0
276,excitatory,1,0.0,0.0,0.0
277,excitatory,1,6.111111,13.333333,19.777779
278,excitatory,1,0.0,0.0,0.0
279,inhibitory,1,19.666666,8.888889,7.111111
280,excitatory,1,2.3333333,5.7777777,1.2222222
281,excitatory,1,0.0,0.0,0.0
282,excitatory,1,0.0,0.0,0.0
283,excitatory,1,31.333334,31.88889,35.88889
284,inhibitory,1,1.5555556,3.5555556,4.6666665
285,excitatory,1,0.0,0.33333334,0.33333334
286,excitatory,1,0.11111111,0.11111111,0.22222222
287,excitatory,1,0.0,0.0,0.0
288,excitatory,1,3.8888888,1.7777778,0.0
289,inhibitory,1,0.22222222,0.0,0.7777778
290,excitatory,1,0.33333334,1.6666666,1.2222222
291,excitatory,1,0.0,0.0,0.0
292,inhibitory,1,3.5555556,2.6666667,4.7777777
293,inhibitory,1,9.666667,14.777778,17.333334
294,excitatory,1,0.0,0.33333334,0.0
295,excitatory,1,3.7777777,4.4444447,0.7777778
296,inhibitory,1,260.44446,221.88889,245.77777
297,excitatory,1,0.0,0.11111111,0.0
298,excitatory,1,0.0,0.0,0.0
299,excitatory,1,0.0,0.0,0.0
300,excitatory,1,0.33333334,0.11111111,0.0
301,excitatory,1,5.0,0.8888889,1.3333334
302,excitatory,1,0.0,0.0,0.0
303,excitatory,1,0.0,0.11111111,0.0
304,excitatory,1,3.5555556,2.5555556,2.1111112
305,excitatory,1,0.5555556,0.6666667,0.11111111
306,excitatory,1,0.0,0.44444445,0.0
307,inhibitory,1,4.3333335,4.6666665,4.7777777
308,excitatory,1,0.11111111,0.22222222,0.0
309,excitatory,1,0.0,0.11111111,0.0
310,excitatory,1,0.0,0.0,0.0
311,excitatory,1,11.555555,10.333333,11.333333
312,inhibitory,1,24.11111,21.444445,23.11111
313,excitatory,1,28.88889,35.88889,44.666668
314,excitatory,1,15.888889,18.666666,5.5555553
315,excitatory,1,0.22222222,0.44444445,0.0
316,excitatory,1,0.11111111,0.0,0.11111111
317,excitatory,1,0.11111111,0.0,0.0
318,excitatory,1,6.7777777,8.0,7.3333335
319,excitatory,1,0.0,0.0,0.0
320,excitatory,1,0.6666667,1.2222222,3.2222223
321,excitatory,1,0.11111111,0.6666667,0.0
322,excitatory,1,0.0,0.22222222,0.0
323,excitatory,1,6.3333335,4.4444447,6.888889
324,excitatory,1,0.0,0.0,0.0
325,inhibitory,1,0.0,0.44444445,0.22222222
326,excitatory,1,1.7777778,2.7777777,0.22222222
327,inhibitory,1,15.555555,14.777778,13.666667
328,excitatory,1,14.222222,11.0,17.88889
329,excitatory,1,2.3333333,2.4444444,0.44444445
330,inhibitory,1,0.0,0.5555556,0.22222222
331,excitatory,1,0.0,0.0,0.0
332,excitatory,1,0.0,0.0,0.0
333,excitatory,1,0.33333334,0.6666667,0.0
334,excitatory,1,4.6666665,6.5555553,2.3333333
335,excitatory,1,21.777779,20.333334,39.333332
336,inhibitory,1,5.2222223,5.5555553,0.7777778
337,excitatory,1,0.0,1.8888888,0.0
338,inhibitory,1,3.1111112,0.7777778,1.1111112
339,excitatory,1,14.888889,17.0,6.888889
340,excitatory,1,0.0,0.11111111,0.0
341,excitatory,1,0.0,0.0,0.0
342,excitatory,1,0.0,0.0,0.0
343,excitatory,1,0.0,0.0,0.0
344,excitatory,1,1.8888888,0.7777778,1.7777778
345,excitatory,1,3.8888888,3.3333333,3.0
346,excitatory,1,3.4444444,4.0,1.7777778
347,excitatory,1,0.0,0.11111111,0.0
348,excitatory,1,0.0,0.0,0.11111111
349,excitatory,1,0.22222222,0.5555556,0.0
350,excitatory,1,0.22222222,0.33333334,0.11111111
351,excitatory,1,0.0,0.0,0.0
352,inhibitory,1,17.88889,19.444445,4.7777777
353,excitatory,1,5.0,2.3333333,5.4444447
354,excitatory,1,0.0,0.0,0.0
355,excitatory,1,1.1111112,1.3333334,3.2222223
356,excitatory,1,0.33333334,0.22222222,0.0
357,excitatory,1,1.3333334,1.3333334,1.2222222
358,excitatory,1,0.22222222,0.33333334,0.11111111
359,inhibitory,1,243.0,196.11111,241.44444
360,inhibitory,1,67.111115,74.333336,128.0
361,excitatory,1,0.0,0.5555556,0.0
362,excitatory,1,0.0,0.0,0.0
363,excitatory,1,0.0,0.11111111,0.0
364,inhibitory,1,0.11111111,0.0,0.0
365,excitatory,1,2.5555556,2.6666667,0.5555556
366,inhibitory,1,11.222222,16.333334,2.2222223
367,excitatory,1,0.0,0.0,0.6666667
368,excitatory,1,4.2222223,8.888889,11.777778
369,excitatory,1,0.0,0.0,0.11111111
370,excitatory,1,0.0,0.0,0.0
371,excitatory,1,0.11111111,0.11111111,0.0
372,excitatory,1,0.5555556,2.2222223,1.1111112
373,excitatory,1,1.0,1.7777778,2.5555556
374,excitatory,1,0.7777778,2.0,1.2222222
375,excitatory,1,1.3333334,2.0,0.22222222
376,excitatory,1,1.3333334,0.8888889,4.7777777
377,inhibitory,1,4.5555553,5.6666665,11.0
378,excitatory,1,1.3333334,0.8888889,0.8888889
379,excitatory,1,0.7777778,0.44444445,1.2222222
380,excitatory,1,0.6666667,0.22222222,1.0
381,excitatory,1,0.0,0.0,0.0
382,excitatory,1,1.3333334,0.0,2.3333333
383,inhibitory,1,0.11111111,0.0,0.0
384,inhibitory,1,1.1111112,3.8888888,1.5555556
385,excitatory,1,0.0,0.0,0.0
386,excitatory,1,0.0,0.0,0.0
387,excitatory,1,0.0,0.0,0.0
388,excitatory,1,0.0,1.3333334,0.44444445
389,excitatory,1,0.33333334,0.11111111,0.22222222
390,excitatory,1,7.5555553,11.666667,3.5555556
391,excitatory,1,0.0,0.11111111,0.0
392,excitatory,1,0.0,0.0,0.0
393,inhibitory,1,12.666667,2.5555556,1.2222222
394,excitatory,1,0.11111111,0.22222222,0.11111111
395,inhibitory,1,5.2222223,4.3333335,5.4444447
396,excitatory,1,1.4444444,2.7777777,2.8888888
397,inhibitory,1,0.11111111,0.22222222,0.5555556
398,excitatory,1,0.0,0.22222222,0.0
399,excitatory,1,0.0,0.0,0.0
400,inhibitory,1,51.333332,28.555555,37.444443
401,inhibitory,1,20.88889,28.444445,24.11111
402,excitatory,1,1.2222222,1.6666666,3.1111112
403,excitatory,1,0.0,0.0,0.0
404,excitatory,1,0.22222222,0.0,0.0
405,excitatory,1,0.11111111,0.44444445,0.22222222
406,excitatory,1,0.11111111,0.0,0.0
407,excitatory,1,0.0,0.0,0.0
408,excitatory,1,0.6666667,0.5555556,3.6666667
409,excitatory,1,0.7777778,1.8888888,1.4444444
410,excitatory,1,0.11111111,0.0,0.22222222
411,excitatory,1,0.0,0.0,0.11111111
412,excitatory,1,1.6666666,0.11111111,0.5555556
413,excitatory,1,0.11111111,0.11111111,1.3333334
414,excitatory,1,0.0,0.11111111,0.0
415,excitatory,1,7.7777777,7.888889,15.444445
416,inhibitory,1,51.666668,67.55556,127.55556
417,excitatory,1,0.0,1.1111112,0.0
418,excitatory,1,0.0,0.0,0.0
419,inhibitory,1,0.0,0.0,0.0
420,excitatory,1,1.1111112,0.33333334,1.5555556
421,excitatory,1,10.111111,9.555555,8.444445
422,inhibitory,1,71.44444,92.0,75.111115
423,excitatory,1,0.8888889,1.1111112,2.5555556
424,excitatory,1,0.44444445,2.8888888,1.8888888
425,excitatory,1,1.0,1.5555556,0.5555556
426,inhibitory,1,0.11111111,0.0,1.3333334
427,excitatory,1,0.0,0.0,0.0
428,excitatory,1,9.0,7.5555553,4.111111
429,excitatory,1,0.0,0.0,0.0
430,excitatory,1,5.6666665,4.111111,7.7777777
431,excitatory,1,0.0,0.0,0.0
432,excitatory,1,0.0,1.5555556,0.0
433,excitatory,1,0.6666667,0.5555556,0.11111111
434,inhibitory,1,0.44444445,0.22222222,0.11111111
435,excitatory,1,0.0,0.0,0.0
436,excitatory,1,0.44444445,0.5555556,1.4444444
437,excitatory,1,0.5555556,0.8888889,0.11111111
438,inhibitory,1,0.0,0.0,0.0
439,excitatory,1,0.0,0.0,0.0
440,excitatory,1,0.0,0.0,0.0
441,excitatory,1,0.0,0.0,0.0
442,excitatory,1,8.222222,2.2222223,7.888889
443,excitatory,1,0.0,0.0,0.0
444,inhibitory,1,57.0,67.55556,19.555555
445,excitatory,1,0.0,0.0,0.0
446,inhibitory,1,3.1111112,8.333333,1.0
447,excitatory,1,0.11111111,0.11111111,0.0
448,excitatory,1,0.0,0.0,0.0
449,inhibitory,1,18.11111,24.0,9.888889
450,excitatory,1,9.111111,3.7777777,0.8888889
451,excitatory,1,0.0,0.11111111,0.0
452,excitatory,1,1.1111112,0.44444445,2.7777777
453,inhibitory,1,7.4444447,7.4444447,4.6666665
454,excitatory,1,1.3333334,2.1111112,4.7777777
455,inhibitory,1,0.11111111,0.44444445,0.33333334
456,excitatory,1,0.0,0.6666667,0.0
457,excitatory,1,0.0,0.0,0.0
458,excitatory,1,0.6666667,1.3333334,0.0
459,excitatory,1,22.0,18.0,38.666668
460,excitatory,1,0.0,0.0,0.22222222
461,excitatory,1,0.0,0.0,0.0
462,excitatory,1,0.0,0.0,0.0
463,inhibitory,1,0.11111111,1.7777778,0.44444445
464,excitatory,1,5.2222223,5.3333335,6.7777777
465,excitatory,1,0.8888889,0.6666667,1.4444444
466,excitatory,1,0.0,0.22222222,0.0
467,excitatory,1,0.0,0.0,0.0
468,excitatory,1,0.0,0.0,0.0
469,excitatory,1,0.0,0.11111111,0.8888889
470,inhibitory,1,31.88889,19.0,25.555555
471,excitatory,1,0.22222222,0.44444445,0.0
472,excitatory,1,0.22222222,1.3333334,0.0
473,inhibitory,1,19.777779,15.888889,11.333333
474,excitatory,1,0.0,0.0,0.0
475,excitatory,1,0.0,0.0,0.0
476,excitatory,1,2.4444444,12.0,4.111111
477,excitatory,1,4.888889,1.7777778,0.11111111
478,excitatory,1,0.0,0.11111111,0.0
479,excitatory,1,0.0,0.0,0.0
480,excitatory,1,0.0,0.0,0.6666667
481,excitatory,1,0.0,0.0,0.0
482,excitatory,1,0.22222222,1.7777778,0.44444445
483,inhibitory,1,2.6666667,0.8888889,1.6666666
484,excitatory,1,0.8888889,1.2222222,0.7777778
485,excitatory,1,0.0,0.0,0.0
486,excitatory,1,16.11111,14.666667,26.222221
487,inhibitory,1,1.8888888,1.7777778,0.7777778
488,excitatory,1,13.777778,16.11111,32.88889
489,excitatory,1,2.8888888,1.7777778,2.1111112
