error_model,level,seed,neuron_id,cell_type,observed,kappa_lost,fluctuation_r2,teacher_rate_hz,student_rate_hz
synapse_dropout,0.0,44,1594,inhibitory,1,0.0,0.8685008883476257,10.714285714285714,11.164596273291924
synapse_dropout,0.0,44,1595,excitatory,1,0.0,0.8185483813285828,0.2329192546583851,0.14751552795031053
synapse_dropout,0.0,44,1596,excitatory,1,0.0,0.9356822371482849,0.9316770186335404,1.0481366459627328
synapse_dropout,0.0,44,1597,excitatory,1,0.0,0.8572899103164673,1.7080745341614907,1.9487577639751552
synapse_dropout,0.0,44,1600,excitatory,1,0.0,0.9473572969436646,12.888198757763975,14.557453416149068
synapse_dropout,0.0,44,1603,excitatory,1,0.0,0.6522030830383301,0.2329192546583851,0.3105590062111801
synapse_dropout,0.0,44,1604,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1613,excitatory,1,0.0,0.9665888547897339,2.872670807453416,3.11723602484472
synapse_dropout,0.0,44,1614,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1615,excitatory,1,0.0,0.9971007704734802,13.74223602484472,13.893633540372669
synapse_dropout,0.0,44,1617,inhibitory,1,0.0,0.9794024229049683,18.40062111801242,16.05201863354037
synapse_dropout,0.0,44,1623,inhibitory,1,0.0,0.6002155542373657,0.4658385093167702,0.578416149068323
synapse_dropout,0.0,44,1625,excitatory,1,0.0,0.9978603720664978,0.2329192546583851,0.23291925465838506
synapse_dropout,0.0,44,1626,excitatory,1,0.0,0.9846035838127136,0.07763975155279502,0.06987577639751552
synapse_dropout,0.0,44,1628,excitatory,1,0.0,0.6490683555603027,2.251552795031056,3.1249999999999996
synapse_dropout,0.0,44,1629,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1633,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1634,inhibitory,1,0.0,0.8522854447364807,2.4068322981366457,1.5372670807453415
synapse_dropout,0.0,44,1635,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1636,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1637,excitatory,1,0.0,0.9994773864746094,0.7763975155279502,0.78027950310559
synapse_dropout,0.0,44,1638,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1643,inhibitory,1,0.0,0.8661456108093262,10.248447204968944,9.922360248447204
synapse_dropout,0.0,44,1644,inhibitory,1,0.0,0.9436514377593994,2.1739130434782608,1.6653726708074532
synapse_dropout,0.0,44,1647,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1651,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1655,inhibitory,1,0.0,0.9308103322982788,30.512422360248447,24.398291925465838
synapse_dropout,0.0,44,1657,inhibitory,1,0.0,0.8719399571418762,0.4658385093167702,0.29891304347826086
synapse_dropout,0.0,44,1659,excitatory,1,0.0,-0.04002797603607178,0.3105590062111801,0.7104037267080745
synapse_dropout,0.0,44,1660,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1662,excitatory,1,0.0,,0.0,0.03105590062111801
synapse_dropout,0.0,44,1666,inhibitory,1,0.0,0.9603919386863708,0.07763975155279502,0.07375776397515527
synapse_dropout,0.0,44,1667,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1668,excitatory,1,0.0,0.9964954853057861,0.6987577639751552,0.7453416149068323
synapse_dropout,0.0,44,1670,inhibitory,1,0.0,0.9626532793045044,31.366459627329192,26.762422360248443
synapse_dropout,0.0,44,1671,excitatory,1,0.0,0.9996992349624634,0.3105590062111801,0.3105590062111801
synapse_dropout,0.0,44,1673,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1675,excitatory,1,0.0,0.9065802097320557,2.562111801242236,2.9891304347826084
synapse_dropout,0.0,44,1677,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1680,inhibitory,1,0.0,0.6721518039703369,2.251552795031056,1.1723602484472049
synapse_dropout,0.0,44,1681,excitatory,1,0.0,0.9906682968139648,0.07763975155279502,0.07763975155279502
synapse_dropout,0.0,44,1685,excitatory,1,0.0,0.99086594581604,0.15527950310559005,0.15527950310559005
synapse_dropout,0.0,44,1686,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1687,inhibitory,1,0.0,0.9201805591583252,26.397515527950308,22.868788819875775
synapse_dropout,0.0,44,1688,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1691,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1692,excitatory,1,0.0,0.9866014719009399,2.4068322981366457,2.49223602484472
synapse_dropout,0.0,44,1695,inhibitory,1,0.0,0.7122389078140259,1.4751552795031055,0.7608695652173912
synapse_dropout,0.0,44,1697,excitatory,1,0.0,0.8069612979888916,1.6304347826086956,2.2204968944099375
synapse_dropout,0.0,44,1706,excitatory,1,0.0,0.7952641248703003,4.813664596273291,5.788043478260869
synapse_dropout,0.0,44,1707,excitatory,1,0.0,0.9567741751670837,6.6770186335403725,7.088509316770185
synapse_dropout,0.0,44,1708,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1709,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1711,excitatory,1,0.0,0.9143507480621338,2.4068322981366457,2.9697204968944098
synapse_dropout,0.0,44,1712,excitatory,1,0.0,0.8521292209625244,0.5434782608695652,0.48913043478260865
synapse_dropout,0.0,44,1715,excitatory,1,0.0,0.9388332366943359,5.512422360248447,5.267857142857142
synapse_dropout,0.0,44,1718,inhibitory,1,0.0,0.9225609302520752,1.3198757763975155,1.09083850931677
synapse_dropout,0.0,44,1722,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1724,excitatory,1,0.0,0.9873456358909607,0.2329192546583851,0.23680124223602483
synapse_dropout,0.0,44,1725,excitatory,1,0.0,0.9758937954902649,0.6211180124223602,0.6288819875776397
synapse_dropout,0.0,44,1727,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1728,excitatory,1,0.0,0.8998513221740723,3.105590062111801,3.575310559006211
synapse_dropout,0.0,44,1730,excitatory,1,0.0,0.4282744526863098,0.07763975155279502,0.1358695652173913
synapse_dropout,0.0,44,1731,excitatory,1,0.0,0.48607295751571655,0.15527950310559005,0.23291925465838506
synapse_dropout,0.0,44,1732,inhibitory,1,0.0,0.9550013542175293,45.807453416149066,43.016304347826086
synapse_dropout,0.0,44,1733,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1739,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1740,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1742,inhibitory,1,0.0,0.9682296514511108,1.1645962732919255,1.075310559006211
synapse_dropout,0.0,44,1744,excitatory,1,0.0,-0.5363552570343018,0.07763975155279502,0.17857142857142855
synapse_dropout,0.0,44,1745,inhibitory,1,0.0,0.9588348269462585,125.31055900621118,110.43478260869564
synapse_dropout,0.0,44,1746,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1747,excitatory,1,0.0,0.9598802924156189,32.065217391304344,33.37732919254658
synapse_dropout,0.0,44,1754,excitatory,1,0.0,,0.0,0.06599378881987578
synapse_dropout,0.0,44,1757,excitatory,1,0.0,0.8690602779388428,1.0869565217391304,1.3354037267080745
synapse_dropout,0.0,44,1758,excitatory,1,0.0,0.8561784029006958,0.3105590062111801,0.31444099378881984
synapse_dropout,0.0,44,1761,excitatory,1,0.0,-0.013433575630187988,0.07763975155279502,0.15527950310559005
synapse_dropout,0.0,44,1762,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1764,excitatory,1,0.0,,0.0,0.0
synapse_dropout,0.0,44,1766,excitatory,1,0.0,0.8499505519866943,4.425465838509316,5.1513975155279494
synapse_dropout,0.0,44,1767,inhibitory,1,0.0,0.8566204309463501,0.2329192546583851,0.1436335403726708
synapse_dropout,0.0,44,1768,excitatory,1,0.0,,0.0,0.08540372670807453
synapse_dropout,0.0,44,1769,excitatory,1,0.0,0.9460593461990356,1.7857142857142856,1.917701863354037
synapse_dropout,0.0,44,1770,inhibitory,1,0.0,0.8859041929244995,4.736024844720497,3.1754658385093166
