error_model,level,mean_kappa_lost,seed,evaluation,group,cell_type,n_cells,metric,value,ceiling_value
neuron_removal,0.2,0.2015908723577116,44,held_out,observed,all,2000,fluctuation_r2,0.4742726683616638,0.9915035963058472
neuron_removal,0.2,0.2015908723577116,44,held_out,unobserved,all,2000,activity_r2,0.5438457353952468,0.9997946934342359
neuron_removal,0.2,0.2015908723577116,44,held_out,unobserved,all,2000,fluctuation_r2,0.5445874929428101,0.9938390254974365
neuron_removal,0.2,0.2015908723577116,44,perturbation,unobserved,excitatory,1581,delta_activity_r2,0.4050299867264411,0.9975781341637115
neuron_removal,0.2,0.2015908723577116,44,perturbation,unobserved,excitatory,1581,delta_fluctuation_r2,0.3817836046218872,0.973789393901825
neuron_removal,0.2,0.2015908723577116,44,perturbation,unobserved,inhibitory,314,delta_activity_r2,0.31527142966708466,0.9958859508447074
neuron_removal,0.2,0.2015908723577116,44,perturbation,unobserved,inhibitory,314,delta_fluctuation_r2,0.4630575180053711,0.9782153964042664
neuron_removal,0.2,0.2015908723577116,44,perturbation,targeted,inhibitory,105,delta_activity_r2,0.46833989996184644,0.9987739131990906
neuron_removal,0.2,0.2015908723577116,44,perturbation,targeted,inhibitory,105,delta_fluctuation_r2,0.5471517443656921,0.9885157942771912
neuron_removal,0.3,0.3050430592765143,44,held_out,observed,all,1750,activity_r2,0.3696634067134782,0.9997840257901462
neuron_removal,0.3,0.3050430592765143,44,held_out,observed,all,1750,fluctuation_r2,0.36244654655456543,0.9900237321853638
neuron_removal,0.3,0.3050430592765143,44,held_out,unobserved,all,1750,activity_r2,0.3610684813113807,0.9997620275449516
neuron_removal,0.3,0.3050430592765143,44,held_out,unobserved,all,1750,fluctuation_r2,0.32511311769485474,0.9883773326873779
neuron_removal,0.3,0.3050430592765143,44,perturbation,unobserved,excitatory,1387,delta_activity_r2,0.2587087917815707,0.9858767886788578
neuron_removal,0.3,0.3050430592765143,44,perturbation,unobserved,excitatory,1387,delta_fluctuation_r2,0.2372673749923706,0.9544749855995178
neuron_removal,0.3,0.3050430592765143,44,perturbation,unobserved,inhibitory,272,delta_activity_r2,0.36090864507300613,0.9935564950721335
neuron_removal,0.3,0.3050430592765143,44,perturbation,unobserved,inhibitory,272,delta_fluctuation_r2,0.257473886013031,0.9634349346160889
neuron_removal,0.3,0.3050430592765143,44,perturbation,targeted,inhibitory,91,delta_activity_r2,0.287444903428707,0.9990181878615672
neuron_removal,0.3,0.3050430592765143,44,perturbation,targeted,inhibitory,91,delta_fluctuation_r2,0.2109050154685974,0.9718458652496338
neuron_removal,0.4,0.41418088163158956,44,held_out,observed,all,1500,activity_r2,0.22391611096566622,0.9995984874501554
neuron_removal,0.4,0.41418088163158956,44,held_out,observed,all,1500,fluctuation_r2,0.18869781494140625,0.9845321774482727
neuron_removal,0.4,0.41418088163158956,44,held_out,unobserved,all,1500,activity_r2,0.07130808433020752,0.9996427300078833
neuron_removal,0.4,0.41418088163158956,44,held_out,unobserved,all,1500,fluctuation_r2,0.11093908548355103,0.9833282232284546
neuron_removal,0.4,0.41418088163158956,44,perturbation,unobserved,excitatory,1216,delta_activity_r2,0.1412627936601316,0.9909233226907469
neuron_removal,0.4,0.41418088163158956,44,perturbation,unobserved,excitatory,1216,delta_fluctuation_r2,0.18241113424301147,0.9426863193511963
neuron_removal,0.4,0.41418088163158956,44,perturbation,unobserved,inhibitory,213,delta_activity_r2,0.48989884701810393,0.9946611699527496
neuron_removal,0.4,0.41418088163158956,44,perturbation,unobserved,inhibitory,213,delta_fluctuation_r2,0.1834779977798462,0.9563426971435547
neuron_removal,0.4,0.41418088163158956,44,perturbation,targeted,inhibitory,71,delta_activity_r2,-0.1816910234541287,0.9938708802410393
neuron_removal,0.4,0.41418088163158956,44,perturbation,targeted,inhibitory,71,delta_fluctuation_r2,0.12282264232635498,0.963357150554657
neuron_removal,0.5,0.5121644475964321,44,held_out,observed,all,1250,activity_r2,0.056882177517058485,0.998578943794773
neuron_removal,0.5,0.5121644475964321,44,held_out,observed,all,1250,fluctuation_r2,0.07013106346130371,0.9655101895332336
neuron_removal,0.5,0.5121644475964321,44,held_out,unobserved,all,1250,activity_r2,0.08624213800765035,0.9987768409840174
